,State,County,Median AQI,FIPS
446,Minnesota,Washington,42,27163
447,Minnesota,Winona,28,27169
448,Minnesota,Wright,49,27171
449,Mississippi,Bolivar,52,28011
450,Mississippi,DeSoto,54,28033
451,Mississippi,Forrest,53,28035
452,Mississippi,Hancock,50,28045
453,Mississippi,Harrison,51,28047
454,Mississippi,Hinds,54,28049
455,Mississippi,Jackson,51,28059
456,Mississippi,Lauderdale,38,28075
457,Mississippi,Lee,42,28081
458,Mississippi,Yalobusha,36,28161
459,Missouri,Andrew,43,29003
460,Missouri,Boone,42,29019
461,Missouri,Buchanan,48,29021
462,Missouri,Callaway,43,29027
463,Missouri,Cass,44,29037
464,Missouri,Cedar,44,29039
465,Missouri,Clay,43,29047
466,Missouri,Clinton,44,29049
467,Missouri,Greene,49,29077
468,Missouri,Jackson,52,29095
469,Missouri,Jasper,42,29097
470,Missouri,Jefferson,44,29099
471,Missouri,Lincoln,44,29113
472,Missouri,Monroe,38,29137
473,Missouri,Perry,44,29157
474,Missouri,Saint Charles,45,29183
475,Missouri,Saint Louis,46,29510
476,Missouri,Sainte Genevieve,44,29186
477,Missouri,St. Louis City,58,29510
478,Missouri,Stoddard,37,29207
479,Missouri,Taney,29,29213
480,Montana,Beaverhead,13,30001
481,Montana,Cascade,50,30013
482,Montana,Custer,39,30017
483,Montana,Fergus,41,30027
484,Montana,Flathead,43,30029
485,Montana,Gallatin,26,30031
486,Montana,Glacier,12,30035
487,Montana,Hill,23,30041
488,Montana,Lake,13,30047
489,Montana,Lewis and Clark,45,30049
490,Montana,Lincoln,53,30053
491,Montana,Missoula,53,30063
492,Montana,Phillips,38,30071
493,Montana,Powder River,44,30075
494,Montana,Powell,14,30077
495,Montana,Ravalli,22,30081
496,Montana,Richland,39,30083
497,Montana,Roosevelt,13,30085
498,Montana,Rosebud,3,30087
499,Montana,Sanders,37,30089
500,Montana,Sheridan,18,30091
501,Montana,Silver Bow,31,30093
502,Montana,Yellowstone,29,30111
503,Nebraska,Cass,17,31025
504,Nebraska,Douglas,45,31055
505,Nebraska,Gage,34,31067
506,Nebraska,Hall,35,31079
507,Nebraska,Knox,41,31107
508,Nebraska,Lancaster,42,31109
509,Nebraska,Sarpy,37,31153
510,Nebraska,Scotts Bluff,21,31157
511,Nebraska,Washington,33,31177
512,Nevada,Carson City,47,32510
513,Nevada,Churchill,43,32001
514,Nevada,Clark,61,32003
515,Nevada,Douglas,28,32005
516,Nevada,Elko,31,32007
517,Nevada,Lyon,41,32019
518,Nevada,Nye,19,32023
519,Nevada,Washoe,50,32031
520,Nevada,White Pine,44,32033
521,New Hampshire,Belknap,35,33001
522,New Hampshire,Cheshire,41,33005
523,New Hampshire,Coos,43,33007
524,New Hampshire,Grafton,37,33009
525,New Hampshire,Hillsborough,39,33011
526,New Hampshire,Merrimack,39,33013
527,New Hampshire,Rockingham,40,33015
528,New Jersey,Atlantic,38,34001
529,New Jersey,Bergen,48,34003
530,New Jersey,Camden,50,34007
531,New Jersey,Cumberland,43,34011
532,New Jersey,Gloucester,43,34015
533,New Jersey,Hudson,44,34017
534,New Jersey,Hunterdon,44,34019
535,New Jersey,Mercer,49,34021
536,New Jersey,Middlesex,44,34023
537,New Jersey,Monmouth,39,34025
538,New Jersey,Morris,37,34027
539,New Jersey,Ocean,42,34029
540,New Jersey,Passaic,42,34031
541,New Jersey,Union,52,34039
542,New Jersey,Warren,41,34041
543,New Mexico,Bernalillo,59,35001
544,New Mexico,Catron,13,35003
545,New Mexico,Chaves,24,35005
546,New Mexico,Dona Ana,52,35013
547,New Mexico,Eddy,49,35015
548,New Mexico,Lea,45,35025
549,New Mexico,Lincoln,14,35027
550,New Mexico,Los Alamos,14,35028
551,New Mexico,Luna,16,35029
552,New Mexico,Rio Arriba,43,35039
553,New Mexico,San Juan,46,35045
554,New Mexico,Sandoval,44,35043
555,New Mexico,Santa Fe,44,35049
556,New Mexico,Socorro,14,35053
557,New Mexico,Taos,20,35055
558,New Mexico,Valencia,42,35061
559,New York,Albany,42,36001
560,New York,Bronx,47,36005
561,New York,Chautauqua,37,36013
562,New York,Dutchess,33,36027
563,New York,Erie,48,36029
564,New York,Essex,42,36031
565,New York,Hamilton,33,36041
566,New York,Jefferson,33,36045
567,New York,Kings,46,36047
568,New York,Monroe,42,36055
569,New York,Nassau,31,36059
570,New York,New York,48,36061
571,New York,Niagara,33,36063
572,New York,Oneida,32,36065
573,New York,Onondaga,40,36067
574,New York,Orange,34,36071
575,New York,Oswego,33,36075
576,New York,Putnam,32,36079
577,New York,Queens,50,36081
578,New York,Richmond,42,36085
579,New York,Rockland,38,36087
580,New York,Saratoga,31,36091
581,New York,Steuben,40,36101
582,New York,Suffolk,41,36103
583,New York,Tompkins,35,36109
584,New York,Wayne,33,36117
585,New York,Westchester,39,36119
586,North Carolina,Alexander,38,37003
587,North Carolina,Avery,39,37011
588,North Carolina,Buncombe,43,37021
589,North Carolina,Caldwell,40,37027
590,North Carolina,Carteret,38,37031
591,North Carolina,Caswell,36,37033
592,North Carolina,Catawba,43,37035
593,North Carolina,Cumberland,48,37051
594,North Carolina,Davidson,47,37057
595,North Carolina,Durham,44,37063
596,North Carolina,Edgecombe,41,37065
597,North Carolina,Forsyth,52,37067
598,North Carolina,Graham,46,37075
599,North Carolina,Granville,43,37077
600,North Carolina,Guilford,50,37081
601,North Carolina,Haywood,45,37087
602,North Carolina,Hyde,26,37095
603,North Carolina,Johnston,44,37101
604,North Carolina,Lenoir,39,37107
605,North Carolina,Lincoln,43,37109
606,North Carolina,Macon,34,37113
607,North Carolina,Martin,36,37117
608,North Carolina,Mecklenburg,51,37119
609,North Carolina,Mitchell,33,37121
610,North Carolina,Montgomery,48,37123
611,North Carolina,New Hanover,44,37129
612,North Carolina,Northampton,37,37131
613,North Carolina,Person,41,37145
614,North Carolina,Pitt,42,37147
615,North Carolina,Rockingham,43,37157
616,North Carolina,Rowan,47,37159
617,North Carolina,Swain,40,37173
618,North Carolina,Union,43,37179
619,North Carolina,Wake,49,37183
620,North Carolina,Yancey,45,37199
621,North Dakota,Billings,39,38007
622,North Dakota,Burke,44,38013
623,North Dakota,Burleigh,42,38015
624,North Dakota,Cass,50,38017
625,North Dakota,Dunn,41,38025
626,North Dakota,McKenzie,39,38053
627,North Dakota,Mercer,41,38057
628,North Dakota,Oliver,42,38065
629,North Dakota,Ward,42,38101
630,Ohio,Allen,44,39003
631,Ohio,Ashtabula,42,39007
632,Ohio,Athens,31,39009
633,Ohio,Belmont,31,39013
634,Ohio,Butler,56,39017
635,Ohio,Clark,50,39023
636,Ohio,Clermont,41,39025
637,Ohio,Clinton,44,39027
638,Ohio,Columbiana,11,39029
639,Ohio,Cuyahoga,57,39035
640,Ohio,Delaware,41,39041
641,Ohio,Franklin,54,39049
642,Ohio,Geauga,41,39055
643,Ohio,Greene,44,39057
644,Ohio,Hamilton,54,39061
645,Ohio,Jefferson,49,39081
646,Ohio,Knox,42,39083
647,Ohio,Lake,42,39085
648,Ohio,Lawrence,46,39087
649,Ohio,Licking,43,39089
650,Ohio,Lorain,37,39093
651,Ohio,Lucas,45,39095
652,Ohio,Madison,44,39097
653,Ohio,Mahoning,49,39099
654,Ohio,Medina,44,39103
655,Ohio,Miami,43,39109
656,Ohio,Montgomery,51,39113
657,Ohio,Noble,39,39121
658,Ohio,Portage,43,39133
659,Ohio,Preble,46,39135
660,Ohio,Scioto,44,39145
661,Ohio,Stark,52,39151
662,Ohio,Summit,46,39153
663,Ohio,Trumbull,48,39155
664,Ohio,Warren,44,39165
665,Ohio,Washington,42,39167
666,Ohio,Wood,40,39173
667,Oklahoma,Adair,51,40001
668,Oklahoma,Canadian,45,40017
669,Oklahoma,Carter,48,40019
670,Oklahoma,Cleveland,52,40027
671,Oklahoma,Comanche,46,40031
672,Oklahoma,Creek,44,40037
673,Oklahoma,Dewey,46,40043
674,Oklahoma,Grant,32,40053
675,Oklahoma,Jefferson,46,40067
676,Oklahoma,Johnston,46,40069
677,Oklahoma,Kay,49,40071
678,Oklahoma,Mayes,42,40097
679,Oklahoma,McClain,48,40087
680,Oklahoma,Nowata,54,40105
681,Oklahoma,Oklahoma,53,40109
682,Oklahoma,Osage,43,40113
683,Oklahoma,Ottawa,54,40115
684,Oklahoma,Pittsburg,49,40121
685,Oklahoma,Pontotoc,42,40123
686,Oklahoma,Sequoyah,46,40135
687,Oklahoma,Tulsa,53,40143
688,Oregon,Baker,30,41001
689,Oregon,Clackamas,34,41005
690,Oregon,Columbia,29,41009
691,Oregon,Crook,33,41013
692,Oregon,Deschutes,28,41017
693,Oregon,Grant,44,41023
694,Oregon,Harney,43,41025
695,Oregon,Jackson,45,41029
696,Oregon,Jefferson,31,41031
697,Oregon,Josephine,44,41033
698,Oregon,Klamath,39,41035
699,Oregon,Lake,28,41037
700,Oregon,Lane,49,41039
701,Oregon,Linn,34,41043
702,Oregon,Marion,38,41047
703,Oregon,Multnomah,38,41051
704,Oregon,Umatilla,42,41059
705,Oregon,Union,26,41061
706,Oregon,Wallowa,25,41063
707,Oregon,Wasco,27,41065
708,Oregon,Washington,36,41067
709,Pennsylvania,Adams,50,42001
710,Pennsylvania,Allegheny,56,42003
711,Pennsylvania,Armstrong,44,42005
712,Pennsylvania,Beaver,52,42007
713,Pennsylvania,Berks,48,42011
714,Pennsylvania,Blair,43,42013
715,Pennsylvania,Bradford,40,42015
716,Pennsylvania,Bucks,39,42017
717,Pennsylvania,Cambria,46,42021
718,Pennsylvania,Centre,45,42027
719,Pennsylvania,Chester,45,42029
720,Pennsylvania,Cumberland,44,42041
721,Pennsylvania,Dauphin,52,42043
722,Pennsylvania,Delaware,50,42045
723,Pennsylvania,Elk,35,42047
724,Pennsylvania,Erie,42,42049
725,Pennsylvania,Fayette,44,42051
726,Pennsylvania,Franklin,39,42055
