,State,County,Median AQI,FIPS,Income
178,Georgia,Bibb,53,13021.0,48455
179,Georgia,Charlton,27,13049.0,32717
180,Georgia,Chatham,48,13051.0,59376
181,Georgia,Chattooga,38,13055.0,38269
182,Georgia,Clarke,52,13059.0,43899
183,Georgia,Clayton,51,13063.0,34871
184,Georgia,Cobb,43,13067.0,75176
185,Georgia,Coffee,41,13069.0,40334
186,Georgia,Columbia,36,13073.0,61147
187,Georgia,Dawson,38,13085.0,63599
188,Georgia,DeKalb,53,13089.0,67811
189,Georgia,Dougherty,51,13095.0,47803
190,Georgia,Douglas,41,13097.0,45636
191,Georgia,Floyd,46,13115.0,46727
192,Georgia,Fulton,53,13121.0,106131
193,Georgia,Glynn,43,13127.0,62751
194,Georgia,Gwinnett,50,13135.0,54331
195,Georgia,Hall,52,13139.0,60036
196,Georgia,Henry,44,13151.0,49576
197,Georgia,Houston,49,13153.0,50250
198,Georgia,Lowndes,48,13185.0,45758
199,Georgia,Murray,41,13213.0,38846
200,Georgia,Muscogee,52,13215.0,51442
201,Georgia,Pike,39,13231.0,52786
202,Georgia,Richmond,51,13245.0,45441
203,Georgia,Rockdale,40,13247.0,43568
204,Georgia,Sumter,38,13261.0,45394
205,Georgia,Walker,53,13295.0,44195
206,Georgia,Washington,52,13303.0,43518
207,Hawaii,Hawaii,23,15001.0,52866
208,Hawaii,Honolulu,31,15003.0,69893
209,Idaho,Ada,44,16001.0,72588
210,Idaho,Bannock,41,16005.0,50084
211,Idaho,Benewah,48,16009.0,45633
212,Idaho,Blaine,19,16013.0,187239
213,Idaho,Boise,39,16015.0,54614
214,Idaho,Bonner,34,16017.0,55464
215,Idaho,Bonneville,25,16019.0,60032
216,Idaho,Butte,44,16023.0,51958
217,Idaho,Canyon,34,16027.0,47903
218,Idaho,Custer,8,16037.0,52420
219,Idaho,Franklin,24,16041.0,45872
220,Idaho,Idaho,44,16049.0,45574
221,Idaho,Kootenai,32,16055.0,63893
222,Idaho,Latah,22,16057.0,54794
223,Idaho,Lemhi,32,16059.0,53841
224,Idaho,Nez Perce,36,16069.0,56586
225,Idaho,Shoshone,47,16079.0,45440
226,Idaho,Twin Falls,25,16083.0,52087
227,Idaho,Valley,36,16085.0,66382
228,Illinois,Adams,43,17001.0,59776
229,Illinois,Champaign,48,17019.0,58838
230,Illinois,Clark,36,17023.0,53733
231,Illinois,Cook,57,17031.0,77937
232,Illinois,DuPage,53,17043.0,95811
233,Illinois,Effingham,44,17049.0,67028
234,Illinois,Hamilton,46,17065.0,55005
235,Illinois,Jersey,48,17083.0,55010
236,Illinois,Jo Daviess,36,17085.0,59940
237,Illinois,Kane,46,17089.0,67922
238,Illinois,Lake,42,17097.0,99895
239,Illinois,Macon,51,17115.0,60030
240,Illinois,Macoupin,37,17117.0,54510
241,Illinois,Madison,55,17119.0,60115
242,Illinois,McHenry,49,17111.0,69641
243,Illinois,McLean,50,17113.0,61174
244,Illinois,Peoria,48,17143.0,62066
245,Illinois,Randolph,46,17157.0,48860
246,Illinois,Rock Island,51,17161.0,52525
247,Illinois,Saint Clair,54,17163.0,59412
248,Illinois,Sangamon,51,17167.0,60497
249,Illinois,Will,53,17197.0,68225
250,Illinois,Winnebago,52,17201.0,53553
251,Indiana,Allen,42,18003.0,60607
252,Indiana,Bartholomew,46,18005.0,65564
253,Indiana,Boone,37,18011.0,97028
254,Indiana,Brown,37,18013.0,61898
255,Indiana,Carroll,36,18015.0,53144
256,Indiana,Clark,52,18019.0,56729
257,Indiana,Delaware,40,18035.0,47629
258,Indiana,Dubois,44,18037.0,68645
259,Indiana,Elkhart,44,18039.0,58662
260,Indiana,Floyd,46,18043.0,66690
261,Indiana,Greene,44,18055.0,52586
262,Indiana,Hamilton,46,18057.0,99456
263,Indiana,Hendricks,37,18063.0,62305
264,Indiana,Henry,44,18065.0,48320
265,Indiana,Howard,45,18067.0,50368
266,Indiana,Knox,39,18083.0,56279
267,Indiana,LaPorte,39,18091.0,53144
268,Indiana,Lake,55,18089.0,56172
269,Indiana,Madison,48,18095.0,48479
270,Indiana,Marion,60,18097.0,70999
271,Indiana,Monroe,40,18105.0,57379
272,Indiana,Perry,38,18123.0,46830
273,Indiana,Porter,48,18127.0,66906
274,Indiana,Posey,38,18129.0,61689
275,Indiana,Shelby,37,18145.0,55484
276,Indiana,Spencer,43,18147.0,56258
