FIPS,Population
40033,5470
40035,14476
40037,73372
40039,28332
40041,41775
40043,4253
40045,3637
40047,62055
40049,25918
40051,57493
40053,4088
40055,5491
40057,2409
40059,3207
40061,11790
40063,13406
40065,24685
40067,5367
40069,10199
40071,43621
40073,15615
40075,8322
40077,9561
40079,49590
40081,34613
40083,53121
40085,10305
40087,47060
40089,30957
40091,19670
40093,7623
40095,15974
40097,39971
40099,13735
40101,66656
40103,10865
40105,9481
40107,11297
40109,811096
40111,36940
40113,46008
40115,30316
40117,15892
40119,83819
40121,43472
40123,38506
40125,73864
40127,10856
40129,3331
40131,100268
40133,23585
40135,40248
40137,44066
40139,20512
40141,6867
40143,686411
40145,89375
40147,53772
40149,10716
40151,8560
40153,20073
41001,16904
41003,98566
41005,424396
41007,41089
41009,53918
41011,64557
41013,26960
41015,23273
41017,208857
41019,112435
41021,2035
41023,7216
41025,7451
41027,23811
41029,221338
41031,25480
41033,88001
41035,70347
41037,8307
41039,382151
41041,51307
41043,131509
41045,32262
41047,349874
41049,12303
41051,794271
41053,90290
41055,1954
41057,27423
41059,79872
41061,26038
41063,7643
41065,26402
41067,604831
41069,1436
41071,109146
42001,107147
42003,1230138
42005,64094
42007,165556
42009,47442
42011,435284
42013,120494
42015,59700
42017,647625
42019,198665
42021,130713
42023,4382
42025,65427
42027,159087
42029,555310
42031,36964
42033,78381
42035,37852
42037,65782
42039,82052
42041,271553
42043,290886
42045,580538
42047,30221
42049,268203
42051,124699
42053,6486
42055,158054
42057,14510
42059,34493
42061,43545
42063,83110
42065,43625
42067,23368
42069,216472
42071,560174
42073,84553
42075,144546
42077,380872
42079,328909
42081,113282
42083,39522
42085,108519
42087,45950
42089,166581
42091,871673
42093,18053
42095,320844
42097,90131
42099,46367
42101,1563349
42103,61496
42105,16040
42107,143932
42109,39699
42111,72233
42113,5925
42115,38108
42117,40747
42119,42237
42121,49436
42123,37672
42125,210344
42127,51404
42129,351420
42131,25868
42133,465977
44001,50358
44003,171770
44005,83843
44007,667219
44009,130239
45001,24563
45003,177034
45005,7596
45007,213998
45009,12991
45011,20448
45013,198961
45015,256123
45017,14208
45019,425805
45021,56943
45023,32163
45025,44120
45027,31119
45029,39040
45031,62368
45033,27712
45035,169770
45037,28629
45039,20392
