"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Shelby,"64,218","66,618","64,704",25,3.7,-2.9,65
Sioux,"59,820","70,254","67,668",17,17.4,-3.7,76
Story,"48,274","53,852","55,798",69,11.6,3.6,14
Tama,"56,922","58,228","56,041",67,2.3,-3.8,77
Taylor,"56,566","58,744","54,697",76,3.9,-6.9,87
Union,"49,432","50,731","50,034",92,2.6,-1.4,55
Van Buren,"48,005","50,612","48,677",96,5.4,-3.8,78
Wapello,"45,266","46,471","47,419",98,2.7,2.0,24
Warren,"59,382","61,957","64,502",27,4.3,4.1,8
Washington,"72,335","82,598","80,062",5,14.2,-3.1,67
Wayne,"52,800","55,199","53,428",81,4.5,-3.2,70
Webster,"51,436","53,727","53,213",85,4.5,-1.0,49
Winnebago,"52,059","56,529","53,158",86,8.6,-6.0,84
Winneshiek,"59,115","61,918","62,049",39,4.7,0.2,41
Woodbury,"49,952","52,027","53,685",79,4.2,3.2,18
Worth,"54,434","57,455","56,008",68,5.5,-2.5,64
Wright,"58,510","73,273","68,410",15,25.2,-6.6,86
,,,,,,,
Kansas,"59,021","62,326","66,115",--,5.6,6.1,--
Allen,"49,894","47,551","50,687",93,-4.7,6.6,61
Anderson,"54,609","50,793","54,518",70,-7.0,7.3,56
Atchison,"44,687","43,801","45,739",104,-2.0,4.4,90
Barber,"54,598","54,641","59,643",47,0.1,9.2,45
Barton,"53,256","56,098","59,485",48,5.3,6.0,69
Bourbon,"48,278","46,786","49,298",96,-3.1,5.4,83
Brown,"53,575","51,909","54,718",68,-3.1,5.4,82
Butler,"52,533","54,333","57,748",55,3.4,6.3,66
Chase,"63,474","59,756","66,523",25,-5.9,11.3,30
Chautauqua,"44,323","43,532","47,835",99,-1.8,9.9,44
Cherokee,"52,249","55,078","55,543",64,5.4,0.8,101
Cheyenne,"66,106","62,337","64,275",32,-5.7,3.1,96
Clark,"57,440","54,804","60,744",38,-4.6,10.8,33
Clay,"53,744","49,472","53,949",72,-7.9,9.0,46
Cloud,"48,212","46,390","53,067",78,-3.8,14.4,20
Coffey,"60,101","56,828","58,337",52,-5.4,2.7,98
Comanche,"50,669","50,462","60,615",40,-0.4,20.1,5
Cowley,"44,481","44,614","47,207",102,0.3,5.8,72
Crawford,"45,652","45,296","47,790",100,-0.8,5.5,79
Decatur,"58,312","70,536","65,912",28,21.0,-6.6,104
Dickinson,"49,656","48,692","51,568",86,-1.9,5.9,71
Doniphan,"53,365","49,426","51,625",85,-7.4,4.4,89
Douglas,"52,025","53,670","56,846",58,3.2,5.9,70
Edwards,"70,145","65,417","74,594",13,-6.7,14.0,21
Elk,"44,284","41,811","47,572",101,-5.6,13.8,23
Ellis,"54,688","54,959","58,661",50,0.5,6.7,59
Ellsworth,"48,860","47,279","52,060",82,-3.2,10.1,41
Finney,"49,542","50,560","52,953",79,2.1,4.7,86
Ford,"47,406","47,691","48,219",97,0.6,1.1,100
Franklin,"49,764","49,388","51,709",84,-0.8,4.7,87
Geary,"51,004","51,854","53,932",73,1.7,4.0,92
Gove,"82,666","87,882","93,617",5,6.3,6.5,62
Graham,"61,644","61,338","72,489",15,-0.5,18.2,11
Grant,"46,986","42,459","55,067",66,-9.6,29.7,2
Gray,"68,700","66,596","75,419",12,-3.1,13.2,26
Greeley,"106,644","108,427","104,174",1,1.7,-3.9,102
Greenwood,"48,146","47,145","53,469",75,-2.1,13.4,25
Hamilton,"73,212","94,381","96,996",4,28.9,2.8,97
Harper,"61,286","59,689","64,601",30,-2.6,8.2,48
Harvey,"50,546","51,355","54,695",69,1.6,6.5,63
Haskell,"75,381","68,184","86,892",7,-9.5,27.4,3
Hodgeman,"69,393","63,137","74,269",14,-9.0,17.6,12
Jackson,"50,474","49,905","53,147",77,-1.1,6.5,64
Jefferson,"53,775","54,538","58,042",53,1.4,6.4,65
Jewell,"62,322","52,667","68,978",21,-15.5,31.0,1
Johnson,"83,568","97,232","102,693",2,16.4,5.6,74
Kearny,"63,530","60,628","69,427",20,-4.6,14.5,19
Kingman,"53,009","53,651","59,356",49,1.2,10.6,36
Kiowa,"57,520","49,389","56,167",59,-14.1,13.7,24
Labette,"48,283","49,938","51,806",83,3.4,3.7,93
Lane,"84,214","83,104","98,681",3,-1.3,18.7,8
Leavenworth,"49,454","50,913","53,757",74,3.0,5.6,76
Lincoln,"52,843","49,550","57,773",54,-6.2,16.6,15
Linn,"47,647","48,058","50,711",91,0.9,5.5,77
Logan,"66,174","67,223","69,978",19,1.6,4.1,91
Lyon,"46,905","47,375","49,529",94,1.0,4.5,88
McPherson,"57,654","59,531","64,594",31,3.3,8.5,47
Marion,"49,141","47,475","52,183",81,-3.4,9.9,42
Marshall,"50,941","47,286","50,960",90,-7.2,7.8,52
Meade,"78,101","67,180","75,656",11,-14.0,12.6,29
Miami,"58,539","60,711","63,817",34,3.7,5.1,85
Mitchell,"68,952","66,214","78,857",8,-4.0,19.1,7
Montgomery,"43,541","44,313","46,735",103,1.8,5.5,80
Morris,"52,214","50,562","56,022",60,-3.2,10.8,34
Morton,"58,125","52,045","61,783",35,-10.5,18.7,9
Nemaha,"63,047","66,355","71,607",16,5.2,7.9,50
Neosho,"47,197","47,092","50,698",92,-0.2,7.7,55
Ness,"68,609","66,301","77,970",9,-3.4,17.6,13
Norton,"53,669","55,825","61,506",36,4.0,10.2,40
Osage,"50,137","50,097","53,431",76,-0.1,6.7,60
Osborne,"57,251","54,168","66,994",24,-5.4,23.7,4
Ottawa,"52,208","51,593","55,673",62,-1.2,7.9,51
Pawnee,"50,432","45,586","51,405",88,-9.6,12.8,28
Phillips,"67,849","63,040","71,198",17,-7.1,12.9,27
Pottawatomie,"61,144","60,979","65,218",29,-0.3,7.0,58
Pratt,"56,776","55,860","60,341",42,-1.6,8.0,49
Rawlins,"80,847","87,810","75,897",10,8.6,-13.6,105
Reno,"47,704","48,046","51,423",87,0.7,7.0,57
Republic,"53,515","48,236","54,892",67,-9.9,13.8,22
Rice,"50,023","49,597","55,134",65,-0.9,11.2,31
Riley,"49,004","51,104","53,971",71,4.3,5.6,75
Rooks,"49,725","46,621","55,630",63,-6.2,19.3,6
Rush,"63,641","55,951","66,255",27,-12.1,18.4,10
Russell,"54,616","54,213","59,870",45,-0.7,10.4,38
Saline,"55,403","57,343","60,591",41,3.5,5.7,73
Scott,"64,538","61,900","68,367",22,-4.1,10.4,37
Sedgwick,"57,818","58,289","61,462",37,0.8,5.4,81
Seward,"46,431","46,726","47,846",98,0.6,2.4,99
Shawnee,"54,083","55,071","58,412",51,1.8,6.1,68
Sheridan,"59,552","58,369","64,147",33,-2.0,9.9,43
Sherman,"55,717","55,309","57,304",56,-0.7,3.6,94
Smith,"64,180","58,492","67,860",23,-8.9,16.0,16
Stafford,"52,564","52,079","60,316",43,-0.9,15.8,17
Stanton,"92,313","86,798","91,580",6,-6.0,5.5,78
Stevens,"56,258","51,714","57,057",57,-8.1,10.3,39
Sumner,"48,034","48,291","51,274",89,0.5,6.2,67
Thomas,"55,264","57,092","60,027",44,3.3,5.1,84
Trego,"60,656","61,361","70,367",18,1.2,14.7,18
Wabaunsee,"57,296","56,344","60,700",39,-1.7,7.7,53
Wallace,"65,348","63,287","59,710",46,-3.2,-5.7,103
Washington,"56,307","50,260","55,727",61,-10.7,10.9,32
Wichita,"61,068","56,752","66,361",26,-7.1,16.9,14
Wilson,"49,735","48,633","52,380",80,-2.2,7.7,54
Woodson,"45,685","44,538","49,343",95,-2.5,10.8,35
Wyandotte,"38,614","39,880","41,273",105,3.3,3.5,95
,,,,,,,
Kentucky,"51,769","52,705","55,360",--,1.8,5.0,--
Adair,"41,156","41,624","43,430",82,1.1,4.3,74
Allen,"41,536","40,990","41,417",99,-1.3,1.0,112
Anderson,"45,527","45,951","48,357",47,0.9,5.2,44
Ballard,"50,528","52,056","54,570",21,3.0,4.8,58
Barren,"43,495","43,145","44,502",72,-0.8,3.1,98
Bath,"38,121","38,581","40,141",110,1.2,4.0,79
Bell,"40,573","39,680","42,353",88,-2.2,6.7,10
Boone,"57,374","59,091","62,066",9,3.0,5.0,49
Bourbon,"55,952","58,544","60,106",12,4.6,2.7,104
Boyd,"46,154","45,860","49,074",43,-0.6,7.0,7
Boyle,"45,325","46,949","49,125",42,3.6,4.6,68
Bracken,"45,606","44,813","46,473",58,-1.7,3.7,87
Breathitt,"39,020","39,280","42,633",85,0.7,8.5,1
Breckinridge,"43,143","41,491","42,080",94,-3.8,1.4,110
Bullitt,"50,614","51,569","54,121",23,1.9,4.9,54
Butler,"44,198","43,552","44,967",68,-1.5,3.2,95
Caldwell,"45,190","44,398","45,883",62,-1.8,3.3,93
Calloway,"44,329","43,812","45,760",63,-1.2,4.4,72
Campbell,"59,848","63,196","66,222",4,5.6,4.8,62
Carlisle,"54,660","56,221","57,656",15,2.9,2.6,106
Carroll,"45,629","47,124","48,948",44,3.3,3.9,83
Carter,"39,255","38,950","40,853",107,-0.8,4.9,56
Casey,"40,521","40,325","42,262",92,-0.5,4.8,61
Christian,"44,884","45,421","46,804",57,1.2,3.0,100
Clark,"48,032","48,727","51,148",32,1.4,5.0,53
Clay,"38,970","38,265","40,899",106,-1.8,6.9,8
Clinton,"43,976","44,344","44,343",74,0.8,0.0,116
Crittenden,"42,663","42,302","44,336",75,-0.8,4.8,60
Cumberland,"50,564","51,076","54,202",22,1.0,6.1,23
Daviess,"49,689","50,186","52,446",28,1.0,4.5,70
Edmonson,"40,459","40,491","41,551",98,0.1,2.6,105
Elliott,"28,751","27,678","29,689",120,-3.7,7.3,4
Estill,"40,190","40,269","42,324",91,0.2,5.1,47
Fayette,"60,386","61,972","65,766",5,2.6,6.1,22
Fleming,"41,373","41,425","42,128",93,0.1,1.7,109
Floyd,"43,342","42,986","45,540",66,-0.8,5.9,29
Franklin,"49,495","49,847","52,606",25,0.7,5.5,36
Fulton,"42,135","42,368","43,619",81,0.6,3.0,102
Gallatin,"44,222","44,174","45,611",65,-0.1,3.3,94
Garrard,"44,195","44,079","46,035",61,-0.3,4.4,73
Grant,"46,119","45,827","47,749",51,-0.6,4.2,76
Graves,"48,388","50,548","51,262",31,4.5,1.4,111
Grayson,"42,107","42,159","43,794",79,0.1,3.9,82
Green,"42,974","42,241","43,751",80,-1.7,3.6,88
Greenup,"47,502","47,838","50,917",33,0.7,6.4,14
Hancock,"50,306","60,439","64,129",8,20.1,6.1,24
Hardin,"52,376","53,562","56,117",18,2.3,4.8,63
Harlan,"38,206","37,910","40,111",111,-0.8,5.8,30
Harrison,"44,179","43,362","44,682",71,-1.8,3.0,101
Hart,"41,222","42,335","44,753",70,2.7,5.7,31
Henderson,"49,868","53,191","55,562",19,6.7,4.5,71
Henry,"49,616","50,133","52,499",27,1.0,4.7,64
Hickman,"54,394","59,031","54,753",20,8.5,-7.2,120
Hopkins,"46,187","47,331","49,158",41,2.5,3.9,84
Jackson,"38,299","37,510","39,236",112,-2.1,4.6,69
Jefferson,"62,666","64,198","67,663",3,2.4,5.4,40
Jessamine,"56,900","58,494","61,703",10,2.8,5.5,38
Johnson,"39,580","39,143","41,188",103,-1.1,5.2,45
Kenton,"68,773","69,568","73,345",2,1.2,5.4,39
Knott,"41,216","41,732","44,273",76,1.3,6.1,25
Knox,"38,688","37,330","39,065",113,-3.5,4.6,67
Larue,"44,476","42,450","43,899",78,-4.6,3.4,92
Laurel,"41,320","40,659","42,337",90,-1.6,4.1,78
Lawrence,"38,148","38,464","41,198",102,0.8,7.1,6
Lee,"34,946","34,304","36,462",116,-1.8,6.3,18
Leslie,"39,574","39,352","41,877",96,-0.6,6.4,15
Letcher,"39,667","39,824","42,346",89,0.4,6.3,17
Lewis,"40,142","39,658","41,161",104,-1.2,3.8,85
Lincoln,"40,422","40,770","41,970",95,0.9,2.9,103
Livingston,"46,545","46,106","49,169",40,-0.9,6.6,12
Logan,"45,645","45,655","47,354",53,0.0,3.7,86
Lyon,"42,555","41,599","44,255",77,-2.2,6.4,16
McCracken,"59,177","60,868","64,990",7,2.9,6.8,9
McCreary,"35,655","33,934","35,036",117,-4.8,3.2,96
McLean,"49,522","52,720","49,877",35,6.5,-5.4,119
Madison,"44,175","45,296","48,025",50,2.5,6.0,27
Magoffin,"42,399","41,842","44,371",73,-1.3,6.0,26
Marion,"44,325","44,681","46,832",56,0.8,4.8,59
Marshall,"47,888","49,072","52,573",26,2.5,7.1,5
Martin,"32,922","31,935","33,523",119,-3.0,5.0,52
Mason,"49,333","49,007","51,314",30,-0.7,4.7,65
Meade,"47,487","48,032","49,710",38,1.1,3.5,90
Menifee,"41,400","40,862","42,933",83,-1.3,5.1,48
Mercer,"43,470","45,108","46,920",54,3.8,4.0,80
Metcalfe,"38,240","37,519","38,441",114,-1.9,2.5,107
Monroe,"44,252","44,675","44,980",67,1.0,0.7,113
Montgomery,"42,840","43,623","45,753",64,1.8,4.9,57
Morgan,"33,898","32,223","34,380",118,-4.9,6.7,11
Muhlenberg,"40,542","40,575","42,598",86,0.1,5.0,50
Nelson,"52,851","53,925","56,564",17,2.0,4.9,55
Nicholas,"40,735","39,213","41,289",100,-3.7,5.3,43
Ohio,"39,784","41,411","41,556",97,4.1,0.4,115
Oldham,"76,306","78,161","82,531",1,2.4,5.6,34
Owen,"40,427","39,836","41,220",101,-1.5,3.5,91
Owsley,"46,298","46,988","49,867",36,1.5,6.1,21
Pendleton,"47,639","46,545","48,191",48,-2.3,3.5,89
Perry,"43,293","43,542","46,219",60,0.6,6.1,20
Pike,"42,989","44,003","46,272",59,2.4,5.2,46
Powell,"37,836","38,687","40,504",109,2.2,4.7,66
Pulaski,"46,799","47,051","49,580",39,0.5,5.4,41
Robertson,"41,446","41,149","41,010",105,-0.7,-0.3,117
Rockcastle,"40,510","40,228","42,505",87,-0.7,5.7,32
Rowan,"37,818","38,267","40,762",108,1.2,6.5,13
Russell,"47,774","54,459","57,716",14,14.0,6.0,28
Scott,"52,100","53,908","56,801",16,3.5,5.4,42
Shelby,"55,676","58,344","61,248",11,4.8,5.0,51
Simpson,"44,668","45,096","46,907",55,1.0,4.0,81
Spencer,"54,769","56,042","59,165",13,2.3,5.6,35
Taylor,"41,339","40,546","42,772",84,-1.9,5.5,37
Todd,"47,581","50,411","50,116",34,5.9,-0.6,118
Trigg,"46,975","46,598","48,027",49,-0.8,3.1,99
Trimble,"48,159","47,799","49,796",37,-0.7,4.2,77
Union,"50,410","49,465","53,319",24,-1.9,7.8,3
Warren,"44,936","45,971","48,546",45,2.3,5.6,33
Washington,"46,533","45,614","47,570",52,-2.0,4.3,75
Wayne,"38,284","37,285","37,963",115,-2.6,1.8,108
Webster,"47,751","51,223","51,507",29,7.3,0.6,114
Whitley,"43,132","42,285","44,924",69,-2.0,6.2,19
Wolfe,"45,027","44,869","48,386",46,-0.4,7.8,2
Woodford,"60,340","63,536","65,575",6,5.3,3.2,97
,,,,,,,
Louisiana,"54,959","55,729","58,845",--,1.4,5.6,--
Acadia,"46,407","46,497","48,445",42,0.2,4.2,49
Allen,"42,823","43,378","44,650",54,1.3,2.9,58
Ascension,"59,598","59,878","63,811",9,0.5,6.6,8
Assumption,"57,774","58,410","63,846",8,1.1,9.3,1
Avoyelles,"45,224","45,378","48,298",43,0.3,6.4,9
Beauregard,"50,417","50,633","52,717",24,0.4,4.1,50
Bienville,"45,667","45,092","48,274",44,-1.3,7.1,5
Bossier,"52,233","53,561","56,326",18,2.5,5.2,36
Caddo,"57,982","61,176","64,383",7,5.5,5.2,35
Calcasieu,"51,452","52,458","54,129",21,2.0,3.2,56
Caldwell,"41,605","39,954","42,350",60,-4.0,6.0,18
Cameron,"64,179","64,713","65,580",6,0.8,1.3,63
Catahoula,"44,478","44,212","47,040",49,-0.6,6.4,10
Claiborne,"42,984","42,819","44,286",57,-0.4,3.4,54
Concordia,"42,602","43,247","44,999",51,1.5,4.1,51
De Soto,"51,324","54,819","57,251",16,6.8,4.4,47
East Baton Rouge,"60,165","62,921","66,726",4,4.6,6.0,15
East Carroll,"39,292","35,335","35,475",64,-10.1,0.4,64
East Feliciana,"47,397","47,167","50,032",31,-0.5,6.1,14
Evangeline,"40,822","40,609","43,355",59,-0.5,6.8,6
Franklin,"40,633","39,627","42,154",61,-2.5,6.4,11
Grant,"37,458","38,396","39,914",63,2.5,4.0,52
Iberia,"46,932","46,979","49,213",37,0.1,4.8,41
Iberville,"53,631","53,008","55,730",20,-1.2,5.1,37
Jackson,"42,344","42,687","44,759",52,0.8,4.9,40
Jefferson,"60,836","59,743","63,448",10,-1.8,6.2,13
Jefferson Davis,"46,977","46,922","48,106",45,-0.1,2.5,60
Lafayette,"60,204","62,448","66,179",5,3.7,6.0,19
Lafourche,"52,145","53,243","57,643",15,2.1,8.3,2
LaSalle,"38,078","38,318","40,622",62,0.6,6.0,16
Lincoln,"46,621","48,770","50,986",28,4.6,4.5,43
Livingston,"48,676","49,237","52,193",26,1.2,6.0,17
Madison,"43,911","42,135","44,624",55,-4.0,5.9,22
Morehouse,"43,874","42,981","45,316",50,-2.0,5.4,29
Natchitoches,"48,818","48,999","52,510",25,0.4,7.2,4
Orleans,"62,260","63,419","67,403",3,1.9,6.3,12
Ouachita,"46,896","47,304","49,818",32,0.9,5.3,32
Plaquemines,"56,383","56,399","58,920",14,0.0,4.5,46
Pointe Coupee,"59,252","57,627","60,708",11,-2.7,5.3,30
Rapides,"53,624","53,892","56,169",19,0.5,4.2,48
Red River,"52,786","55,921","59,240",13,5.9,5.9,21
Richland,"44,876","45,022","47,254",48,0.3,5.0,38
Sabine,"44,949","47,256","48,715",41,5.1,3.1,57
St. Bernard,"42,912","41,751","43,959",58,-2.7,5.3,33
St. Charles,"56,943","57,578","60,180",12,1.1,4.5,44
St. Helena,"47,755","46,983","48,813",39,-1.6,3.9,53
St. James,"70,103","66,288","70,185",2,-5.4,5.9,25
St. John the Baptist,"46,416","46,279","47,598",46,-0.3,2.9,59
St. Landry,"48,094","46,680","48,881",38,-2.9,4.7,42
St. Martin,"46,428","46,472","48,737",40,0.1,4.9,39
St. Mary,"48,810","48,526","51,224",27,-0.6,5.6,27
St. Tammany,"74,105","74,194","78,246",1,0.1,5.5,28
Tangipahoa,"47,871","47,688","50,875",29,-0.4,6.7,7
Tensas,"52,067","48,524","49,739",33,-6.8,2.5,61
Terrebonne,"48,164","50,163","53,834",23,4.2,7.3,3
Union,"47,311","48,695","49,698",34,2.9,2.1,62
Vermilion,"47,342","47,440","49,563",35,0.2,4.5,45
Vernon,"47,998","48,984","50,611",30,2.1,3.3,55
Washington,"41,826","42,127","44,615",56,0.7,5.9,23
Webster,"49,736","51,322","54,025",22,3.2,5.3,34
West Baton Rouge,"55,286","53,876","57,094",17,-2.6,6.0,20
West Carroll,"43,428","42,307","44,689",53,-2.6,5.6,26
West Feliciana,"44,614","44,728","47,362",47,0.3,5.9,24
Winn,"46,865","46,983","49,490",36,0.3,5.3,31
,,,,,,,
Maine,"59,175","61,690","65,105",--,4.3,5.5,--
Androscoggin,"48,420","51,087","53,731",11,5.5,5.2,7
Aroostook,"50,111","51,569","53,650",12,2.9,4.0,13
Cumberland,"75,482","79,470","84,606",1,5.3,6.5,3
Franklin,"46,143","48,019","50,394",15,4.1,4.9,9
Hancock,"61,646","64,318","68,181",3,4.3,6.0,5
Kennebec,"54,441","55,562","58,278",7,2.1,4.9,11
Knox,"61,880","63,588","67,794",4,2.8,6.6,2
Lincoln,"59,711","62,790","66,465",6,5.2,5.9,6
Oxford,"46,207","47,860","50,165",16,3.6,4.8,12
Penobscot,"50,983","52,179","53,978",10,2.3,3.4,15
Piscataquis,"49,522","52,921","54,776",9,6.9,3.5,14
Sagadahoc,"60,311","62,884","67,538",5,4.3,7.4,1
Somerset,"47,066","48,117","50,486",14,2.2,4.9,10
Waldo,"52,342","55,176","56,702",8,5.4,2.8,16
Washington,"49,899","49,799","52,366",13,-0.2,5.2,8
York,"63,206","66,533","70,640",2,5.3,6.2,4
,,,,,,,
Maryland,"69,081","71,340","75,391",--,3.3,5.7,--
Allegany,"47,462","46,913","49,182",22,-1.2,4.8,18
Anne Arundel,"77,764","79,335","84,019",4,2.0,5.9,9
Baltimore,"67,143","70,461","74,738",10,4.9,6.1,7
Calvert,"68,843","71,427","76,018",8,3.8,6.4,4
Caroline,"54,180","56,902","56,447",20,5.0,-0.8,23
Carroll,"69,623","70,695","74,895",9,1.5,5.9,8
Cecil,"55,614","56,261","59,373",16,1.2,5.5,16
Charles,"62,048","63,063","66,642",14,1.6,5.7,14
Dorchester,"55,579","55,896","57,060",19,0.6,2.1,21
Frederick,"69,770","71,670","76,664",7,2.7,7.0,2
Garrett,"53,377","53,861","57,525",17,0.9,6.8,3
Harford,"66,466","67,325","71,196",11,1.3,5.7,13
Howard,"86,486","90,055","95,529",3,4.1,6.1,6
Kent,"69,328","72,498","77,025",6,4.6,6.2,5
Montgomery,"90,696","94,474","100,044",1,4.2,5.9,10
Prince George's,"53,353","54,605","57,096",18,2.3,4.6,19
Queen Anne's,"77,455","79,258","83,650",5,2.3,5.5,15
St. Mary's,"64,999","66,497","70,353",12,2.3,5.8,12
Somerset,"36,982","40,018","37,345",24,8.2,-6.7,24
Talbot,"84,902","91,670","98,166",2,8.0,7.1,1
Washington,"53,079","53,502","56,174",21,0.8,5.0,17
Wicomico,"46,638","47,904","48,596",23,2.7,1.4,22
Worcester,"64,317","66,552","68,163",13,3.5,2.4,20
Baltimore City,"58,764","60,799","64,357",15,3.5,5.9,11
,,,,,,,
Massachusetts,"83,805","86,200","90,596",--,2.9,5.1,--
Barnstable,"84,248","86,325","92,417",6,2.5,7.1,3
Berkshire,"64,927","66,336","70,945",9,2.2,6.9,4
Bristol,"64,266","64,506","67,109",12,0.4,4.0,14
Dukes,"86,093","90,468","98,605",5,5.1,9.0,1
Essex,"78,509","80,141","84,017",8,2.1,4.8,11
Franklin,"63,178","63,534","67,327",11,0.6,6.0,5
Hampden,"61,159","61,085","64,105",13,-0.1,4.9,10
Hampshire,"59,520","60,358","63,544",14,1.4,5.3,7
Middlesex,"100,012","103,403","108,773",3,3.4,5.2,8
Nantucket,"102,641","111,172","120,333",1,8.3,8.2,2
Norfolk,"104,541","109,491","115,585",2,4.7,5.6,6
Plymouth,"79,137","80,798","84,693",7,2.1,4.8,12
Suffolk,"98,360","101,853","107,027",4,3.6,5.1,9
Worcester,"64,661","66,535","69,301",10,2.9,4.2,13
,,,,,,,
Michigan,"56,916","58,009","61,144",--,1.9,5.4,--
Alcona,"49,918","48,458","50,791",37,-2.9,4.8,58
Alger,"42,037","41,864","44,619",74,-0.4,6.6,16
Allegan,"54,528","55,197","58,048",22,1.2,5.2,51
Alpena,"48,642","48,775","51,634",34,0.3,5.9,31
Antrim,"56,671","55,896","59,391",19,-1.4,6.3,23
Arenac,"47,731","46,681","49,129",51,-2.2,5.2,47
Baraga,"41,530","40,828","43,301",79,-1.7,6.1,25
Barry,"53,340","56,941","59,401",18,6.8,4.3,68
Bay,"50,581","49,936","52,579",29,-1.3,5.3,44
Benzie,"54,637","56,631","60,458",16,3.6,6.8,13
Berrien,"60,474","60,359","61,127",13,-0.2,1.3,82
Branch,"43,269","43,860","44,833",72,1.4,2.2,81
Calhoun,"45,745","46,210","47,947",58,1.0,3.8,77
Cass,"55,014","57,076","57,612",23,3.7,0.9,83
Charlevoix,"65,103","67,194","71,589",6,3.2,6.5,17
Cheboygan,"49,253","47,798","50,689",38,-3.0,6.0,26
Chippewa,"43,893","43,526","46,492",63,-0.8,6.8,12
Clare,"41,430","41,217","43,823",76,-0.5,6.3,20
Clinton,"55,957","57,213","60,589",15,2.2,5.9,30
Crawford,"43,520","41,405","43,627",77,-4.9,5.4,41
Delta,"46,521","45,309","47,667",59,-2.6,5.2,50
Dickinson,"56,185","54,389","57,116",24,-3.2,5.0,55
Eaton,"50,975","51,308","54,197",26,0.7,5.6,36
Emmet,"68,983","70,447","75,812",4,2.1,7.6,6
Genesee,"48,331","48,700","52,520",31,0.8,7.8,5
Gladwin,"44,324","44,224","46,537",62,-0.2,5.2,48
Gogebic,"48,526","48,487","51,349",36,-0.1,5.9,29
Grand Traverse,"60,869","63,420","67,800",8,4.2,6.9,11
Gratiot,"44,174","44,050","45,517",69,-0.3,3.3,78
Hillsdale,"42,909","42,800","44,820",73,-0.3,4.7,60
Houghton,"43,289","43,112","45,077",71,-0.4,4.6,64
Huron,"57,092","56,721","61,320",12,-0.6,8.1,2
Ingham,"51,882","50,148","52,560",30,-3.3,4.8,59
Ionia,"41,024","41,076","43,547",78,0.1,6.0,28
Iosco,"46,589","46,390","48,318",56,-0.4,4.2,71
Iron,"48,899","47,919","50,425",40,-2.0,5.2,49
Isabella,"45,812","45,600","48,011",57,-0.5,5.3,45
Jackson,"47,084","46,541","48,818",54,-1.2,4.9,57
Kalamazoo,"59,196","60,902","63,668",10,2.9,4.5,66
Kalkaska,"43,478","43,591","45,992",67,0.3,5.5,39
Kent,"65,889","67,555","70,662",7,2.5,4.6,63
Keweenaw,"57,947","56,295","60,716",14,-2.9,7.9,4
Lake,"39,033","36,440","38,030",82,-6.6,4.4,67
Lapeer,"51,031","50,887","53,743",27,-0.3,5.6,38
Leelanau,"79,823","79,929","85,936",2,0.1,7.5,7
Lenawee,"47,735","48,611","51,391",35,1.8,5.7,33
Livingston,"67,363","68,642","73,173",5,1.9,6.6,15
Luce,"38,932","36,001","36,921",83,-7.5,2.6,80
Mackinac,"53,305","53,373","58,255",21,0.1,9.1,1
Macomb,"53,857","55,618","58,565",20,3.3,5.3,43
Manistee,"46,211","46,124","48,967",52,-0.2,6.2,24
Marquette,"48,207","46,796","49,300",49,-2.9,5.4,42
Mason,"48,622","47,967","50,216",43,-1.3,4.7,61
Mecosta,"44,319","42,745","45,437",70,-3.6,6.3,21
Menominee,"48,400","48,159","50,410",41,-0.5,4.7,62
Midland,"60,417","60,467","64,106",9,0.1,6.0,27
Missaukee,"44,514","43,425","45,640",68,-2.4,5.1,54
Monroe,"52,860","56,960","59,956",17,7.8,5.3,46
Montcalm,"41,316","41,204","42,499",81,-0.3,3.1,79
Montmorency,"43,708","42,048","44,409",75,-3.8,5.6,37
Muskegon,"46,526","47,460","49,244",50,2.0,3.8,76
Newaygo,"44,846","44,584","46,317",65,-0.6,3.9,73
Oakland,"82,181","85,430","90,781",1,4.0,6.3,22
Oceana,"46,335","46,187","48,691",55,-0.3,5.4,40
Ogemaw,"42,497","41,046","42,668",80,-3.4,4.0,72
Ontonagon,"47,232","46,483","49,622",48,-1.6,6.8,14
Osceola,"45,327","47,211","49,882",46,4.2,5.7,35
Oscoda,"41,166","44,672","46,389",64,8.5,3.8,74
Otsego,"49,764","48,325","51,685",33,-2.9,7.0,10
Ottawa,"59,487","60,175","63,265",11,1.2,5.1,52
Presque Isle,"47,308","46,648","50,126",45,-1.4,7.5,8
Roscommon,"45,363","43,878","47,034",61,-3.3,7.2,9
Saginaw,"48,903","48,088","50,278",42,-1.7,4.6,65
St. Clair,"52,602","52,840","55,834",25,0.5,5.7,34
St. Joseph,"47,451","47,887","49,695",47,0.9,3.8,75
Sanilac,"47,223","47,422","50,153",44,0.4,5.8,32
Schoolcraft,"47,884","45,342","48,919",53,-5.3,7.9,3
Shiawassee,"47,845","47,985","50,443",39,0.3,5.1,53
Tuscola,"44,793","44,635","47,501",60,-0.4,6.4,18
Van Buren,"49,787","50,303","52,427",32,1.0,4.2,70
Washtenaw,"70,844","72,867","77,537",3,2.9,6.4,19
Wayne,"49,222","50,241","52,727",28,2.1,4.9,56
Wexford,"44,916","44,128","45,996",66,-1.8,4.2,69
,,,,,,,
Minnesota,"67,460","69,903","72,557",--,3.6,3.8,--
