"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Huerfano,"49,354","46,852","49,718",50,-5.1,6.1,15
Jackson,"61,509","66,407","68,367",25,8.0,3.0,52
Jefferson,"75,279","81,635","85,164",11,8.4,4.3,39
Kiowa,"68,632","70,125","74,467",18,2.2,6.2,14
Kit Carson,"53,091","52,167","55,134",42,-1.7,5.7,21
Lake,"48,591","51,267","53,990",44,5.5,5.3,26
La Plata,"65,107","71,568","76,558",16,9.9,7.0,12
Larimer,"64,885","67,788","71,359",21,4.5,5.3,27
Las Animas,"44,998","45,939","47,010",54,2.1,2.3,55
Lincoln,"37,772","40,407","41,629",60,7.0,3.0,50
Logan,"49,769","52,895","55,137",41,6.3,4.2,40
Mesa,"52,891","55,220","57,653",37,4.4,4.4,37
Mineral,"67,545","71,242","76,234",17,5.5,7.0,10
Moffat,"46,205","49,289","52,090",48,6.7,5.7,22
Montezuma,"51,147","51,125","53,105",47,0.0,3.9,44
Montrose,"50,406","53,361","55,673",39,5.9,4.3,38
Morgan,"52,132","53,164","53,136",46,2.0,-0.1,61
Otero,"42,380","42,753","44,018",57,0.9,3.0,51
Ouray,"82,786","83,739","88,367",10,1.2,5.5,24
Park,"57,733","58,892","61,974",31,2.0,5.2,28
Phillips,"51,382","57,212","58,035",36,11.3,1.4,57
Pitkin,"189,479","232,970","255,839",1,23.0,9.8,2
Prowers,"45,707","46,746","49,097",52,2.3,5.0,30
Pueblo,"46,844","47,031","48,891",53,0.4,4.0,42
Rio Blanco,"56,067","60,200","63,017",29,7.4,4.7,32
Rio Grande,"55,439","56,587","60,174",33,2.1,6.3,13
Routt,"106,220","121,979","131,507",3,14.8,7.8,6
Saguache,"43,617","41,131","42,621",59,-5.7,3.6,47
San Juan,"57,626","51,290","55,971",38,-11.0,9.1,4
San Miguel,"123,197","144,355","156,403",2,17.2,8.3,5
Sedgwick,"52,440","56,862","54,706",43,8.4,-3.8,63
Summit,"84,785","97,495","105,034",6,15.0,7.7,7
Teller,"62,593","62,951","67,575",26,0.6,7.3,9
Washington,"47,526","53,868","49,437",51,13.3,-8.2,64
Weld,"56,330","59,270","62,532",30,5.2,5.5,25
Yuma,"49,496","53,296","55,215",40,7.7,3.6,48
,,,,,,,
Connecticut,"81,758","84,994","89,945",--,4.0,5.8,--
Fairfield,"121,905","130,214","139,006",1,6.8,6.8,2
Hartford,"69,982","71,987","75,433",4,2.9,4.8,7
Litchfield,"76,562","76,836","82,210",2,0.4,7.0,1
Middlesex,"73,540","76,251","80,853",3,3.7,6.0,3
New Haven,"64,206","64,998","68,387",6,1.2,5.2,4
New London,"64,463","66,356","69,755",5,2.9,5.1,5
Tolland,"63,617","64,811","67,916",7,1.9,4.8,6
Windham,"53,604","54,342","56,773",8,1.4,4.5,8
,,,,,,,
Delaware,"59,630","63,964","66,850",--,7.3,4.5,--
Kent,"49,496","50,931","52,494",3,2.9,3.1,3
New Castle,"61,746","67,096","70,792",1,8.7,5.5,1
Sussex,"62,311","66,480","68,532",2,6.7,3.1,2
,,,,,,,
District of Columbia,"97,796","101,015","106,816",--,3.3,5.7,--
,,,,,,,
Florida,"62,242","64,557","68,703",--,3.7,6.4,--
Alachua,"51,579","52,424","55,872",28,1.6,6.6,27
Baker,"42,580","44,740","46,794",42,5.1,4.6,57
Bay,"54,283","53,728","56,070",27,-1.0,4.4,61
Bradford,"40,884","41,531","43,418",51,1.6,4.5,58
Brevard,"55,485","56,550","60,162",20,1.9,6.4,32
Broward,"63,072","66,274","70,982",13,5.1,7.1,14
Calhoun,"36,349","36,065","38,342",59,-0.8,6.3,36
Charlotte,"51,866","51,827","55,332",32,-0.1,6.8,21
Citrus,"45,422","44,901","47,178",41,-1.1,5.1,51
Clay,"52,615","53,891","56,382",26,2.4,4.6,56
Collier,"121,237","125,249","134,527",1,3.3,7.4,13
Columbia,"43,662","43,339","45,995",44,-0.7,6.1,40
DeSoto,"33,227","33,328","34,786",65,0.3,4.4,60
Dixie,"35,310","33,669","35,895",63,-4.6,6.6,26
Duval,"55,081","56,582","58,975",23,2.7,4.2,63
Escambia,"51,712","52,909","55,416",30,2.3,4.7,54
Flagler,"57,803","59,190","63,819",16,2.4,7.8,9
Franklin,"44,371","43,481","45,384",45,-2.0,4.4,59
