,County,Income,State
395,Santa Rosa,59385,Florida
396,Sarasota,85157,Florida
397,Seminole,62804,Florida
398,Sumter,71231,Florida
399,Suwannee,44416,Florida
400,Taylor,39813,Florida
401,Union,28946,Florida
402,Volusia,55824,Florida
403,Wakulla,52124,Florida
404,Walton,89435,Florida
408,Appling,48022,Georgia
409,Atkinson,36641,Georgia
410,Bacon,41682,Georgia
411,Baker,47906,Georgia
412,Baldwin,45617,Georgia
413,Banks,43896,Georgia
414,Barrow,50221,Georgia
415,Bartow,51396,Georgia
416,Ben Hill,42217,Georgia
417,Berrien,41787,Georgia
418,Bibb,48455,Georgia
419,Bleckley,42820,Georgia
420,Brantley,37617,Georgia
421,Brooks,40884,Georgia
422,Bryan,60655,Georgia
423,Bulloch,40939,Georgia
424,Burke,42661,Georgia
425,Butts,44514,Georgia
426,Calhoun,35593,Georgia
427,Camden,46608,Georgia
428,Candler,42764,Georgia
429,Carroll,51798,Georgia
430,Catoosa,45791,Georgia
431,Charlton,32717,Georgia
432,Chatham,59376,Georgia
433,Chattahoochee,38026,Georgia
434,Chattooga,38269,Georgia
435,Cherokee,71255,Georgia
436,Clarke,43899,Georgia
437,Clay,39127,Georgia
438,Clayton,34871,Georgia
439,Clinch,45218,Georgia
440,Cobb,75176,Georgia
441,Coffee,40334,Georgia
442,Colquitt,42437,Georgia
443,Columbia,61147,Georgia
444,Cook,40392,Georgia
445,Coweta,62396,Georgia
446,Crawford,40651,Georgia
447,Crisp,48309,Georgia
448,Dade,43769,Georgia
449,Dawson,63599,Georgia
450,Decatur,44657,Georgia
451,DeKalb,67811,Georgia
452,Dodge,38758,Georgia
453,Dooly,43325,Georgia
454,Dougherty,47803,Georgia
455,Douglas,45636,Georgia
456,Early,44161,Georgia
457,Echols,34289,Georgia
458,Effingham,50587,Georgia
459,Elbert,44067,Georgia
460,Emanuel,41102,Georgia
461,Evans,42033,Georgia
462,Fannin,54467,Georgia
463,Fayette,77577,Georgia
464,Floyd,46727,Georgia
465,Forsyth,84447,Georgia
466,Franklin,41656,Georgia
467,Fulton,106131,Georgia
468,Gilmer,47155,Georgia
469,Glascock,41959,Georgia
470,Glynn,62751,Georgia
471,Gordon,45960,Georgia
472,Grady,39758,Georgia
473,Greene,82896,Georgia
474,Gwinnett,54331,Georgia
475,Habersham,40806,Georgia
476,Hall,60036,Georgia
477,Hancock,36621,Georgia
478,Haralson,46887,Georgia
479,Harris,60495,Georgia
480,Hart,46368,Georgia
481,Heard,41968,Georgia
482,Henry,49576,Georgia
483,Houston,50250,Georgia
484,Irwin,45263,Georgia
485,Jackson,58834,Georgia
486,Jasper,49780,Georgia
487,Jeff Davis,38657,Georgia
488,Jefferson,45063,Georgia
489,Jenkins,38045,Georgia
490,Johnson,34237,Georgia
491,Jones,45119,Georgia
492,Lamar,45645,Georgia
493,Lanier,35327,Georgia
494,Laurens,45805,Georgia
495,Lee,53825,Georgia
496,Liberty,41343,Georgia
497,Lincoln,48452,Georgia
498,Long,40741,Georgia
499,Lowndes,45758,Georgia
500,Lumpkin,49173,Georgia
