,State,County,Median AQI,Income
415,Nevada,Clark,61,63767
416,Nevada,Douglas,28,100931
417,Nevada,Elko,31,56996
418,Nevada,Lyon,41,50379
419,Nevada,Nye,19,44626
420,Nevada,Washoe,50,81371
421,Nevada,White Pine,44,63243
422,New Hampshire,Belknap,35,79465
423,New Hampshire,Cheshire,41,67094
424,New Hampshire,Coos,43,55665
425,New Hampshire,Grafton,37,79934
426,New Hampshire,Hillsborough,39,76187
427,New Hampshire,Merrimack,39,73531
428,New Hampshire,Rockingham,40,97082
429,New Jersey,Atlantic,38,60493
430,New Jersey,Bergen,48,102229
431,New Jersey,Camden,50,64987
432,New Jersey,Cumberland,43,49367
433,New Jersey,Gloucester,43,66061
434,New Jersey,Hudson,44,79982
435,New Jersey,Hunterdon,44,105801
436,New Jersey,Mercer,49,84392
437,New Jersey,Middlesex,44,75352
438,New Jersey,Monmouth,39,100477
439,New Jersey,Morris,37,115850
440,New Jersey,Ocean,42,62195
441,New Jersey,Passaic,42,60002
442,New Jersey,Union,52,82502
443,New Jersey,Warren,41,66483
444,New Mexico,Bernalillo,59,58895
445,New Mexico,Catron,13,41950
446,New Mexico,Chaves,24,52720
447,New Mexico,Eddy,49,76555
448,New Mexico,Lea,45,58422
449,New Mexico,Lincoln,14,54474
450,New Mexico,Los Alamos,14,91773
451,New Mexico,Luna,16,40299
452,New Mexico,Rio Arriba,43,45521
453,New Mexico,San Juan,46,46055
454,New Mexico,Sandoval,44,56559
455,New Mexico,Santa Fe,44,77717
456,New Mexico,Socorro,14,45149
457,New Mexico,Taos,20,49430
458,New Mexico,Valencia,42,46944
459,New York,Albany,42,78464
460,New York,Bronx,47,44736
461,New York,Chautauqua,37,49640
462,New York,New York,48,214991
463,New York,Niagara,33,56135
464,New York,Oneida,32,56075
465,New York,Onondaga,40,63854
466,New York,Orange,34,60539
467,New York,Oswego,33,49548
468,New York,Putnam,32,84598
469,New York,Queens,50,60271
470,New York,Richmond,42,66807
471,New York,Rockland,38,71330
472,New York,Saratoga,31,81008
473,New York,Steuben,40,56349
474,New York,Suffolk,41,88816
475,New York,Tompkins,35,54159
476,North Carolina,Alexander,38,49694
477,North Carolina,Avery,39,50256
478,North Carolina,Buncombe,43,66288
479,North Carolina,Caldwell,40,47398
480,North Carolina,Carteret,38,68500
481,North Carolina,Caswell,36,43437
482,North Carolina,Catawba,43,57624
483,North Carolina,Cumberland,48,48345
484,North Carolina,Davidson,47,51406
485,North Carolina,Durham,44,64059
486,North Carolina,Edgecombe,41,47194
487,North Carolina,Forsyth,52,60481
488,North Carolina,Graham,46,44387
489,North Carolina,Granville,43,49896
490,North Carolina,Guilford,50,59170
491,North Carolina,Haywood,45,53755
492,North Carolina,Hyde,26,52292
493,North Carolina,Johnston,44,52757
494,North Carolina,Lenoir,39,53456
495,North Carolina,Lincoln,43,61859
496,North Carolina,Macon,34,52844
497,North Carolina,Martin,36,44368
498,North Carolina,Mecklenburg,51,82500
499,North Carolina,Mitchell,33,47047
500,North Carolina,Montgomery,48,48050
501,North Carolina,New Hanover,44,64831
502,North Carolina,Northampton,37,49507
503,North Carolina,Person,41,48911
504,North Carolina,Pitt,42,56956
505,North Carolina,Rockingham,43,48622
506,North Carolina,Rowan,47,49008
507,North Carolina,Swain,40,55328
508,North Carolina,Union,43,72553
509,North Carolina,Wake,49,81322
510,North Dakota,Billings,39,89603
511,North Dakota,Burke,44,89281
512,North Dakota,Burleigh,42,75321
513,North Dakota,Cass,50,73185
514,North Dakota,Dunn,41,103731
515,North Dakota,McKenzie,39,84357
516,North Dakota,Mercer,41,66823
517,North Dakota,Oliver,42,55494
518,North Dakota,Ward,42,66524
519,Ohio,Allen,44,54010
520,Ohio,Ashtabula,42,50508
521,Ohio,Athens,31,42018
522,Ohio,Belmont,31,51534
523,Ohio,Butler,56,58192
524,Ohio,Clark,50,50553
525,Ohio,Clermont,41,63599
526,Ohio,Clinton,44,53901
527,Ohio,Columbiana,11,47871
528,Ohio,Cuyahoga,57,68360
529,Ohio,Warren,44,56648
530,Ohio,Warren,44,48546
531,Ohio,Wood,40,58971
532,Oklahoma,Adair,51,42679
533,Oklahoma,Canadian,45,56000
534,Oklahoma,Carter,48,53086
535,Oklahoma,Cleveland,52,54522
536,Oklahoma,Comanche,46,51375
537,Oklahoma,Creek,44,50595
538,Oklahoma,Oklahoma,53,72954
539,Oklahoma,Osage,43,45299
540,Oklahoma,Ottawa,54,47987
541,Oklahoma,Pittsburg,49,45267
542,Oklahoma,Pontotoc,42,56112
543,Oklahoma,Sequoyah,46,44534
544,Oregon,Baker,30,52392
545,Oregon,Clackamas,34,80269
546,Oregon,Columbia,29,59020
547,Oregon,Crook,33,57968
548,Oregon,Deschutes,28,81025
549,Oregon,Grant,44,54969
550,Oregon,Harney,43,53228
551,Oregon,Jackson,45,62541
552,Oregon,Jefferson,31,46111
553,Oregon,Josephine,44,55038
554,Oregon,Klamath,39,51246
555,Oregon,Lake,28,50163
556,Oregon,Lane,49,61634
557,Oregon,Linn,34,57016
558,Oregon,Marion,38,58470
559,Oregon,Multnomah,38,75772
560,Oregon,Umatilla,42,53253
561,Oregon,Union,26,53469
562,Oregon,Wallowa,25,59576
563,Oregon,Wasco,27,56865
564,Pennsylvania,Adams,50,58880
565,Pennsylvania,Allegheny,56,75468
566,Pennsylvania,Armstrong,44,58854
567,Pennsylvania,Beaver,52,58206
568,Pennsylvania,Berks,48,61575
569,Pennsylvania,Blair,43,57782
570,Pennsylvania,Bradford,40,50930
571,Pennsylvania,Bucks,39,92846
572,Pennsylvania,Cambria,46,50932
573,Pennsylvania,Centre,45,57800
574,Pennsylvania,Chester,45,108215
575,Pennsylvania,Cumberland,44,68998
576,Pennsylvania,Dauphin,52,60670
577,Rhode Island,Kent,40,72004
578,Rhode Island,Providence,46,58572
579,South Carolina,Aiken,39,53883
580,South Carolina,Anderson,42,50288
581,South Carolina,Berkeley,36,55131
582,South Carolina,Charleston,47,83294
583,South Carolina,Chesterfield,42,40396
584,South Carolina,Darlington,40,49772
585,South Carolina,Edgefield,44,50938
586,South Carolina,Florence,49,54943
587,South Carolina,Greenville,52,60866
588,South Carolina,Horry,43,51033
589,South Carolina,Lexington,41,60682
590,South Carolina,Richland,47,57160
591,South Carolina,Spartanburg,51,53700
592,South Carolina,York,47,62604
593,South Dakota,Brookings,42,62408
594,South Dakota,Brown,29,75470
595,South Dakota,Clay,43,49412
596,South Dakota,Codington,45,67768
597,South Dakota,Custer,43,68449
598,South Dakota,Hughes,14,67656
599,South Dakota,Jackson,43,45622
600,South Dakota,Meade,43,57635
601,South Dakota,Minnehaha,44,74873
602,South Dakota,Pennington,45,73485
603,Tennessee,Anderson,41,56260
604,Tennessee,Blount,46,58447
605,Tennessee,Claiborne,38,44367
606,Tennessee,Davidson,53,92496
607,Tennessee,DeKalb,37,50940
608,Tennessee,Dyer,39,53828
609,Tennessee,Hamilton,51,65525
610,Tennessee,Jefferson,42,48184
611,Tennessee,Knox,52,67323
612,Tennessee,Lawrence,41,43273
613,Tennessee,Loudon,42,70063
