,County,Income,State
343,Hendry,"41,164",Florida
344,Hernando,"49,176",Florida
345,Highlands,"44,177",Florida
346,Hillsborough,"63,640",Florida
347,Holmes,"41,258",Florida
348,Indian River,"105,827",Florida
349,Jackson,"40,972",Florida
350,Jefferson,"52,094",Florida
351,Lafayette,"35,986",Florida
352,Lake,"55,387",Florida
353,Lee,"65,878",Florida
354,Leon,"57,139",Florida
355,Levy,"47,517",Florida
356,Liberty,"35,661",Florida
357,Madison,"44,697",Florida
358,Manatee,"64,096",Florida
359,Marion,"46,682",Florida
360,Martin,"114,799",Florida
361,Miami-Dade,"75,182",Florida
362,Monroe,"130,525",Florida
363,Nassau,"79,701",Florida
364,Okaloosa,"62,236",Florida
365,Okeechobee,"42,702",Florida
366,Orange,"59,767",Florida
367,Osceola,"47,824",Florida
368,Palm Beach,"117,322",Florida
369,Pasco,"56,734",Florida
370,Pinellas,"71,904",Florida
371,Polk,"44,430",Florida
372,Putnam,"41,712",Florida
373,St. Johns,"89,347",Florida
374,St. Lucie,"54,842",Florida
375,Santa Rosa,"59,385",Florida
376,Sarasota,"85,157",Florida
377,Seminole,"62,804",Florida
378,Sumter,"71,231",Florida
379,Suwannee,"44,416",Florida
380,Taylor,"39,813",Florida
381,Union,"28,946",Florida
382,Volusia,"55,824",Florida
383,Wakulla,"52,124",Florida
384,Walton,"89,435",Florida
385,Washington,"38,734",Washington
386,Appling,"48,022",Georgia
387,Atkinson,"36,641",Georgia
388,Bacon,"41,682",Georgia
389,Baker,"47,906",Georgia
390,Baldwin,"45,617",Georgia
391,Banks,"43,896",Georgia
392,Barrow,"50,221",Georgia
393,Bartow,"51,396",Georgia
394,Ben Hill,"42,217",Georgia
395,Berrien,"41,787",Georgia
396,Bibb,"48,455",Georgia
397,Bleckley,"42,820",Georgia
398,Brantley,"37,617",Georgia
399,Brooks,"40,884",Georgia
400,Bryan,"60,655",Georgia
401,Bulloch,"40,939",Georgia
402,Burke,"42,661",Georgia
403,Butts,"44,514",Georgia
404,Calhoun,"35,593",Georgia
405,Camden,"46,608",Georgia
406,Candler,"42,764",Georgia
407,Carroll,"51,798",Georgia
408,Catoosa,"45,791",Georgia
409,Charlton,"32,717",Georgia
410,Chatham,"59,376",Georgia
411,Chattahoochee,"38,026",Georgia
412,Chattooga,"38,269",Georgia
413,Cherokee,"71,255",Georgia
414,Clarke,"43,899",Georgia
415,Clay,"39,127",Georgia
416,Clayton,"34,871",Georgia
417,Clinch,"45,218",Georgia
418,Cobb,"75,176",Georgia
419,Coffee,"40,334",Georgia
420,Colquitt,"42,437",Georgia
421,Columbia,"61,147",Georgia
422,Cook,"40,392",Georgia
423,Coweta,"62,396",Georgia
424,Crawford,"40,651",Georgia
425,Crisp,"48,309",Georgia
426,Dade,"43,769",Georgia
427,Dawson,"63,599",Georgia
428,Decatur,"44,657",Georgia
429,DeKalb,"67,811",Georgia
430,Dodge,"38,758",Georgia
431,Dooly,"43,325",Georgia
432,Dougherty,"47,803",Georgia
433,Douglas,"45,636",Georgia
434,Early,"44,161",Georgia
435,Echols,"34,289",Georgia
436,Effingham,"50,587",Georgia
437,Elbert,"44,067",Georgia
438,Emanuel,"41,102",Georgia
439,Evans,"42,033",Georgia
440,Fannin,"54,467",Georgia
441,Fayette,"77,577",Georgia
442,Floyd,"46,727",Georgia
443,Forsyth,"84,447",Georgia
444,Franklin,"41,656",Georgia
445,Fulton,"106,131",Georgia
446,Gilmer,"47,155",Georgia
447,Glascock,"41,959",Georgia
448,Glynn,"62,751",Georgia
449,Gordon,"45,960",Georgia
450,Grady,"39,758",Georgia
451,Greene,"82,896",Georgia
452,Gwinnett,"54,331",Georgia
453,Habersham,"40,806",Georgia
454,Hall,"60,036",Georgia
455,Hancock,"36,621",Georgia
456,Haralson,"46,887",Georgia
457,Harris,"60,495",Georgia
458,Hart,"46,368",Georgia
459,Heard,"41,968",Georgia
460,Henry,"49,576",Georgia
461,Houston,"50,250",Georgia
462,Irwin,"45,263",Georgia
463,Jackson,"58,834",Georgia
464,Jasper,"49,780",Georgia
465,Jeff Davis,"38,657",Georgia
466,Jefferson,"45,063",Georgia
467,Jenkins,"38,045",Georgia
468,Johnson,"34,237",Georgia
469,Jones,"45,119",Georgia
470,Lamar,"45,645",Georgia
471,Lanier,"35,327",Georgia
472,Laurens,"45,805",Georgia
473,Lee,"53,825",Georgia
474,Liberty,"41,343",Georgia
475,Lincoln,"48,452",Georgia
476,Long,"40,741",Georgia
477,Lowndes,"45,758",Georgia
478,Lumpkin,"49,173",Georgia
479,McDuffie,"44,291",Georgia
480,McIntosh,"50,929",Georgia
481,Macon,"41,839",Georgia
482,Madison,"46,890",Georgia
483,Marion,"39,386",Georgia
484,Meriwether,"46,981",Georgia
485,Miller,"52,904",Georgia
486,Mitchell,"44,877",Georgia
487,Monroe,"56,136",Georgia
488,Montgomery,"37,828",Georgia
489,Morgan,"63,507",Georgia
490,Murray,"38,846",Georgia
491,Muscogee,"51,442",Georgia
492,Newton,"43,952",Georgia
493,Oconee,"87,461",Georgia
494,Oglethorpe,"47,014",Georgia
495,Paulding,"50,181",Georgia
496,Peach,"46,062",Georgia
497,Pickens,"63,367",Georgia
498,Pierce,"42,832",Georgia
499,Pike,"52,786",Georgia
500,Polk,"41,831",Georgia
501,Pulaski,"41,152",Georgia
502,Putnam,"58,653",Georgia
503,Quitman,"39,745",Georgia
504,Rabun,"54,148",Georgia
505,Randolph,"45,285",Georgia
506,Richmond,"45,441",Georgia
507,Rockdale,"43,568",Georgia
508,Schley,"45,658",Georgia
509,Screven,"42,295",Georgia
510,Seminole,"47,396",Georgia
511,Spalding,"44,742",Georgia
512,Stephens,"46,093",Georgia
513,Stewart,"36,853",Georgia
514,Sumter,"45,394",Georgia
515,Talbot,"49,053",Georgia
516,Taliaferro,"41,595",Georgia
517,Tattnall,"35,381",Georgia
518,Taylor,"42,058",Georgia
519,Telfair,"34,086",Georgia
520,Terrell,"48,546",Georgia
521,Thomas,"57,135",Georgia
522,Tift,"48,399",Georgia
523,Toombs,"44,036",Georgia
524,Towns,"51,955",Georgia
525,Treutlen,"41,701",Georgia
526,Troup,"47,658",Georgia
527,Turner,"39,005",Georgia
528,Twiggs,"45,169",Georgia
529,Union,"47,853",Georgia
530,Upson,"43,541",Georgia
531,Walker,"44,195",Georgia
532,Walton,"53,871",Georgia
533,Ware,"39,743",Georgia
