,State,County,Median AQI
398,Massachusetts,Plymouth,40
399,Massachusetts,Suffolk,44
400,Massachusetts,Worcester,39
401,Michigan,Allegan,42
402,Michigan,Bay,42
403,Michigan,Benzie,38
404,Michigan,Berrien,42
405,Michigan,Cass,42
406,Michigan,Clinton,38
407,Michigan,Genesee,44
408,Michigan,Huron,39
409,Michigan,Ingham,43
410,Michigan,Kalamazoo,53
411,Michigan,Kent,49
412,Michigan,Keweenaw,16
413,Michigan,Lenawee,50
414,Michigan,Macomb,51
415,Michigan,Manistee,39
416,Michigan,Mason,40
417,Michigan,Missaukee,48
418,Michigan,Monroe,25
419,Michigan,Muskegon,41
420,Michigan,Oakland,41
421,Michigan,Ottawa,51
422,Michigan,Schoolcraft,36
423,Michigan,St. Clair,49
424,Michigan,Tuscola,34
425,Michigan,Washtenaw,52
426,Michigan,Wayne,61
427,Michigan,Wexford,35
428,Minnesota,Anoka,46
429,Minnesota,Becker,44
430,Minnesota,Beltrami,27
431,Minnesota,Carlton,38
432,Minnesota,Cass,32
433,Minnesota,Cook,13
434,Minnesota,Crow Wing,43
435,Minnesota,Dakota,49
436,Minnesota,Goodhue,43
437,Minnesota,Hennepin,52
438,Minnesota,Lake,36
439,Minnesota,Lyon,46
440,Minnesota,Mille Lacs,40
441,Minnesota,Olmsted,49
442,Minnesota,Ramsey,49
443,Minnesota,Saint Louis,44
444,Minnesota,Scott,51
445,Minnesota,Stearns,48
446,Minnesota,Washington,42
447,Minnesota,Winona,28
448,Minnesota,Wright,49
449,Mississippi,Bolivar,52
450,Mississippi,DeSoto,54
451,Mississippi,Forrest,53
452,Mississippi,Hancock,50
453,Mississippi,Harrison,51
454,Mississippi,Hinds,54
455,Mississippi,Jackson,51
456,Mississippi,Lauderdale,38
457,Mississippi,Lee,42
458,Mississippi,Yalobusha,36
459,Missouri,Andrew,43
460,Missouri,Boone,42
461,Missouri,Buchanan,48
462,Missouri,Callaway,43
463,Missouri,Cass,44
464,Missouri,Cedar,44
465,Missouri,Clay,43
466,Missouri,Clinton,44
467,Missouri,Greene,49
468,Missouri,Jackson,52
469,Missouri,Jasper,42
470,Missouri,Jefferson,44
471,Missouri,Lincoln,44
472,Missouri,Monroe,38
473,Missouri,Perry,44
474,Missouri,Saint Charles,45
475,Missouri,Saint Louis,46
476,Missouri,Sainte Genevieve,44
477,Missouri,St. Louis City,58
478,Missouri,Stoddard,37
479,Missouri,Taney,29
480,Montana,Beaverhead,13
481,Montana,Cascade,50
482,Montana,Custer,39
483,Montana,Fergus,41
484,Montana,Flathead,43
485,Montana,Gallatin,26
486,Montana,Glacier,12
487,Montana,Hill,23
488,Montana,Lake,13
489,Montana,Lewis and Clark,45
490,Montana,Lincoln,53
491,Montana,Missoula,53
492,Montana,Phillips,38
493,Montana,Powder River,44
494,Montana,Powell,14
495,Montana,Ravalli,22
496,Montana,Richland,39
497,Montana,Roosevelt,13
498,Montana,Rosebud,3
499,Montana,Sanders,37
500,Montana,Sheridan,18
501,Montana,Silver Bow,31
502,Montana,Yellowstone,29
503,Nebraska,Cass,17
504,Nebraska,Douglas,45
505,Nebraska,Gage,34
506,Nebraska,Hall,35
507,Nebraska,Knox,41
508,Nebraska,Lancaster,42
509,Nebraska,Sarpy,37
510,Nebraska,Scotts Bluff,21
511,Nebraska,Washington,33
512,Nevada,Carson City,47
513,Nevada,Churchill,43
514,Nevada,Clark,61
515,Nevada,Douglas,28
516,Nevada,Elko,31
517,Nevada,Lyon,41
518,Nevada,Nye,19
519,Nevada,Washoe,50
520,Nevada,White Pine,44
521,New Hampshire,Belknap,35
522,New Hampshire,Cheshire,41
523,New Hampshire,Coos,43
524,New Hampshire,Grafton,37
525,New Hampshire,Hillsborough,39
526,New Hampshire,Merrimack,39
527,New Hampshire,Rockingham,40
528,New Jersey,Atlantic,38
529,New Jersey,Bergen,48
530,New Jersey,Camden,50
531,New Jersey,Cumberland,43
532,New Jersey,Gloucester,43
533,New Jersey,Hudson,44
534,New Jersey,Hunterdon,44
535,New Jersey,Mercer,49
536,New Jersey,Middlesex,44
537,New Jersey,Monmouth,39
538,New Jersey,Morris,37
539,New Jersey,Ocean,42
540,New Jersey,Passaic,42
541,New Jersey,Union,52
542,New Jersey,Warren,41
543,New Mexico,Bernalillo,59
544,New Mexico,Catron,13
545,New Mexico,Chaves,24
546,New Mexico,Dona Ana,52
547,New Mexico,Eddy,49
548,New Mexico,Lea,45
549,New Mexico,Lincoln,14
550,New Mexico,Los Alamos,14
551,New Mexico,Luna,16
552,New Mexico,Rio Arriba,43
553,New Mexico,San Juan,46
554,New Mexico,Sandoval,44
555,New Mexico,Santa Fe,44
556,New Mexico,Socorro,14
557,New Mexico,Taos,20
558,New Mexico,Valencia,42
559,New York,Albany,42
560,New York,Bronx,47
561,New York,Chautauqua,37
562,New York,Dutchess,33
563,New York,Erie,48
564,New York,Essex,42
565,New York,Hamilton,33
566,New York,Jefferson,33
567,New York,Kings,46
568,New York,Monroe,42
569,New York,Nassau,31
570,New York,New York,48
571,New York,Niagara,33
572,New York,Oneida,32
573,New York,Onondaga,40
574,New York,Orange,34
575,New York,Oswego,33
576,New York,Putnam,32
577,New York,Queens,50
578,New York,Richmond,42
579,New York,Rockland,38
580,New York,Saratoga,31
581,New York,Steuben,40
582,New York,Suffolk,41
583,New York,Tompkins,35
584,New York,Wayne,33
585,New York,Westchester,39
586,North Carolina,Alexander,38
587,North Carolina,Avery,39
588,North Carolina,Buncombe,43
589,North Carolina,Caldwell,40
590,North Carolina,Carteret,38
591,North Carolina,Caswell,36
592,North Carolina,Catawba,43
593,North Carolina,Cumberland,48
594,North Carolina,Davidson,47
595,North Carolina,Durham,44
596,North Carolina,Edgecombe,41
597,North Carolina,Forsyth,52
598,North Carolina,Graham,46
599,North Carolina,Granville,43
600,North Carolina,Guilford,50
601,North Carolina,Haywood,45
602,North Carolina,Hyde,26
603,North Carolina,Johnston,44
604,North Carolina,Lenoir,39
605,North Carolina,Lincoln,43
606,North Carolina,Macon,34
607,North Carolina,Martin,36
608,North Carolina,Mecklenburg,51
609,North Carolina,Mitchell,33
610,North Carolina,Montgomery,48
611,North Carolina,New Hanover,44
612,North Carolina,Northampton,37
613,North Carolina,Person,41
614,North Carolina,Pitt,42
615,North Carolina,Rockingham,43
616,North Carolina,Rowan,47
617,North Carolina,Swain,40
618,North Carolina,Union,43
619,North Carolina,Wake,49
620,North Carolina,Yancey,45
621,North Dakota,Billings,39
622,North Dakota,Burke,44
623,North Dakota,Burleigh,42
624,North Dakota,Cass,50
625,North Dakota,Dunn,41
626,North Dakota,McKenzie,39
627,North Dakota,Mercer,41
628,North Dakota,Oliver,42
629,North Dakota,Ward,42
630,Ohio,Allen,44
631,Ohio,Ashtabula,42
632,Ohio,Athens,31
633,Ohio,Belmont,31
634,Ohio,Butler,56
635,Ohio,Clark,50
636,Ohio,Clermont,41
637,Ohio,Clinton,44
638,Ohio,Columbiana,11
639,Ohio,Cuyahoga,57
640,Ohio,Delaware,41
641,Ohio,Franklin,54
642,Ohio,Geauga,41
643,Ohio,Greene,44
644,Ohio,Hamilton,54
645,Ohio,Jefferson,49
646,Ohio,Knox,42
647,Ohio,Lake,42
648,Ohio,Lawrence,46
649,Ohio,Licking,43
650,Ohio,Lorain,37
651,Ohio,Lucas,45
652,Ohio,Madison,44
653,Ohio,Mahoning,49
654,Ohio,Medina,44
655,Ohio,Miami,43
656,Ohio,Montgomery,51
657,Ohio,Noble,39
658,Ohio,Portage,43
